time;gFx;gFy;gFz;TgF
0.002367344;-0.0775;0.4517;0.6087;0.762
0.003058178;-0.0548;0.4422;0.6306;0.772
0.003443178;-0.0291;0.4346;0.6587;0.790
0.003962553;-0.0037;0.4263;0.6876;0.809
0.005050886;0.0198;0.4219;0.7162;0.831
0.005309167;0.0450;0.4177;0.7519;0.861
0.005530574;0.0692;0.4133;0.7842;0.889
0.01163896;0.0929;0.4116;0.8164;0.919
0.012105106;0.1105;0.4094;0.8497;0.950
0.012341981;0.1308;0.4067;0.8834;0.981
0.012567137;0.1486;0.4033;0.9220;1.017
0.014912085;0.1721;0.3982;0.9738;1.066
0.016902398;0.1990;0.3913;1.0313;1.121
0.02567318;0.2293;0.3857;1.0956;1.184
0.026497555;0.2581;0.3767;1.1554;1.242
0.026951253;0.2774;0.3715;1.2058;1.292
0.027360993;0.2938;0.3679;1.2459;1.332
0.02773318;0.2992;0.3659;1.2762;1.361
0.028736514;0.2999;0.3652;1.2955;1.379
0.030589691;0.2882;0.3652;1.3058;1.386
0.032670472;0.2757;0.3686;1.3075;1.386
0.036178233;0.2547;0.3735;1.3043;1.380
0.03934214;0.2325;0.3784;1.3004;1.374
0.039835629;0.2078;0.3835;1.2958;1.367
0.040870942;0.1816;0.3877;1.2938;1.363
0.043847609;0.1525;0.3921;1.2887;1.356
0.045345317;0.1254;0.3945;1.2833;1.348
0.046554901;0.0968;0.3938;1.2723;1.335
0.049201516;0.0706;0.4001;1.2581;1.322
0.050573859;0.0413;0.3975;1.2366;1.300
0.053255006;0.0122;0.4001;1.2131;1.277
0.055191308;-0.0151;0.4019;1.1858;1.252
0.057243912;-0.0421;0.4065;1.1564;1.227
0.058798548;-0.0679;0.4111;1.1254;1.200
0.061207038;-0.0885;0.4158;1.0965;1.176
0.063434642;-0.1080;0.4214;1.0650;1.150
0.064688705;-0.1217;0.4277;1.0310;1.123
0.066536517;-0.1349;0.4314;1.0029;1.100
0.069311205;-0.1422;0.4363;0.9765;1.079
0.07139532;-0.1435;0.4402;0.9487;1.056
0.072668185;-0.1425;0.4446;0.9254;1.037
0.075267508;-0.1371;0.4446;0.9032;1.016
0.077254018;-0.1266;0.4483;0.8848;1.000
0.0790773;-0.1149;0.4488;0.8692;0.985
0.080950842;-0.1039;0.4510;0.8499;0.968
0.083581884;-0.0900;0.4525;0.8252;0.945
0.093754801;-0.0772;0.4505;0.8025;0.924
0.094568083;-0.0621;0.4473;0.7810;0.902
0.094884958;-0.0491;0.4437;0.7582;0.880
0.095134906;-0.0355;0.4407;0.7394;0.862
0.095395166;-0.0213;0.4373;0.7216;0.844
0.095643968;-0.0083;0.4310;0.7057;0.827
0.096648395;0.0049;0.4263;0.6869;0.808
0.099376156;0.0193;0.4214;0.6646;0.787
0.101231937;0.0318;0.4197;0.6429;0.768
