time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.008471;0.2063;0.2140;0.0459;0.301
0.009352;0.2243;0.1748;0.0906;0.298
0.009853;0.2301;0.1241;0.1298;0.292
0.010291;0.2379;0.0739;0.1636;0.298
0.010594;0.2784;0.0385;0.2351;0.366
0.010890;0.3084;-0.0107;0.2940;0.426
0.011332;0.3302;-0.0498;0.3330;0.472
0.011667;0.3487;-0.1005;0.3642;0.514
0.011979;0.3495;-0.1410;0.4068;0.555
0.012488;0.3326;-0.1788;0.4368;0.577
0.012850;0.2955;-0.1899;0.4401;0.563
0.013364;0.2765;-0.2127;0.4239;0.549
0.013756;0.2424;-0.2090;0.3979;0.511
0.014125;0.2126;-0.2004;0.3528;0.458
0.014509;0.2041;-0.1870;0.3005;0.409
0.014876;0.1861;-0.1714;0.2436;0.351
0.015170;0.1638;-0.1465;0.2040;0.300
0.015440;0.1350;-0.1315;0.1385;0.234
0.015704;0.1023;-0.0883;0.0808;0.157
0.021412;0.0731;-0.0670;0.0452;0.109
0.025622;0.0283;-0.0510;0.0008;0.058
0.030392;-0.0175;-0.0403;-0.0119;0.046
0.041810;-0.0431;-0.0277;-0.0454;0.068
0.042449;-0.0700;-0.0156;-0.0615;0.094
0.045469;-0.0814;0.0033;-0.0723;0.109
0.050424;-0.1207;0.0267;-0.0683;0.141
0.055926;-0.1328;0.0306;-0.0807;0.158
0.060441;-0.1636;0.0438;-0.0784;0.187
0.068256;-0.1845;0.0784;-0.0903;0.220
0.073719;-0.2173;0.1130;-0.1045;0.266
0.075778;-0.2620;0.1307;-0.1498;0.329
0.080343;-0.2853;0.1916;-0.1760;0.386
0.085365;-0.3110;0.2287;-0.1856;0.428
0.091171;-0.3274;0.2277;-0.1933;0.443
0.096066;-0.3417;0.2462;-0.2037;0.468
0.100574;-0.3420;0.2268;-0.1859;0.450
0.106563;-0.3810;0.2149;-0.1686;0.469
0.111236;-0.4037;0.1914;-0.1733;0.479
0.116683;-0.4196;0.1802;-0.1641;0.485
0.121536;-0.4360;0.1479;-0.1482;0.484
0.126801;-0.4383;0.1326;-0.1422;0.479
0.133385;-0.4505;0.1199;-0.1318;0.484
