time;gFx;gFy;gFz;TgF
0.006550938;-0.0105;-0.0017;0.9802;0.980
0.008274948;-0.0120;-0.0049;0.9741;0.974
0.009675313;-0.0132;-0.0039;0.9677;0.968
0.011340209;-0.0161;-0.0039;0.9709;0.971
0.012726199;-0.0203;-0.0049;0.9753;0.976
0.013744897;-0.0193;-0.0022;0.9914;0.992
0.02046245;-0.0235;-0.0064;1.0017;1.002
0.021819793;-0.0230;-0.0029;1.0105;1.011
0.02259146;-0.0230;-0.0071;1.0132;1.013
0.023272658;-0.0217;-0.0020;1.0110;1.011
0.023918127;-0.0203;-0.0032;1.0039;1.004
0.024821148;-0.0186;-0.0042;0.9988;0.999
0.025728283;-0.0193;-0.0054;0.9944;0.995
0.026635731;-0.0151;-0.0061;0.9939;0.994
0.027385367;-0.0151;-0.0012;0.9926;0.993
0.028602815;-0.0159;-0.0054;0.9892;0.989
0.029335888;-0.0161;-0.0034;0.9865;0.987
0.030028232;-0.0188;-0.0051;0.9892;0.989
0.030885471;-0.0178;-0.0037;0.9919;0.992
0.031672711;-0.0191;-0.0059;0.9951;0.995
0.032464899;-0.0203;-0.0044;0.9946;0.995
0.033194013;-0.0215;-0.0034;0.9980;0.998
0.034009274;-0.0195;-0.0039;1.0022;1.002
0.034970993;-0.0191;-0.0007;1.0012;1.001
0.035919795;-0.0193;-0.0044;0.9956;0.996
0.03673667;-0.0171;-0.0012;0.9919;0.992
0.037478805;-0.0176;-0.0061;0.9924;0.993
0.038251826;-0.0169;-0.0020;0.9912;0.991
0.03898542;-0.0173;-0.0039;0.9904;0.991
0.039725941;-0.0188;-0.0042;0.9914;0.992
0.040483754;-0.0193;-0.0029;0.9944;0.995
0.045752087;-0.0171;-0.0056;0.9968;0.997
0.046791879;-0.0181;-0.0029;1.0000;1.000
0.047555056;-0.0186;-0.0064;1.0002;1.000
0.050085213;-0.0198;-0.0017;1.0010;1.001
0.050994692;-0.0195;-0.0056;0.9995;1.000
0.052627036;-0.0176;-0.0020;0.9963;0.996
