time;gFx;gFy;gFz;TgF
0.004907969;1.0454;0.1960;-0.1992;1.082
0.005967657;1.0457;0.1948;-0.2002;1.082
0.00701448;1.0472;0.1938;-0.1968;1.083
0.007840521;1.0489;0.1938;-0.1936;1.084
0.008400834;1.0498;0.1926;-0.1911;1.084
0.008869949;1.0523;0.1909;-0.1892;1.086
0.009369897;1.0528;0.1921;-0.1826;1.086
0.009894845;1.0540;0.1924;-0.1772;1.086
0.010509168;1.0535;0.1931;-0.1733;1.085
0.011219584;1.0513;0.1936;-0.1679;1.082
0.012055157;1.0506;0.1982;-0.1611;1.081
0.012773282;1.0454;0.1994;-0.1574;1.076
0.013357657;1.0413;0.2041;-0.1542;1.072
0.013974949;1.0359;0.2090;-0.1489;1.067
0.01455073;1.0296;0.2146;-0.1457;1.062
0.019244585;1.0257;0.2210;-0.1374;1.058
0.020096408;1.0200;0.2266;-0.1315;1.053
0.02075995;1.0149;0.2325;-0.1256;1.049
0.023141565;1.0117;0.2378;-0.1171;1.046
0.024340419;1.0068;0.2417;-0.1088;1.041
0.027002398;1.0027;0.2444;-0.1039;1.037
0.028598649;0.9997;0.2474;-0.0988;1.035
0.030313961;0.9966;0.2510;-0.0895;1.032
0.032109118;0.9917;0.2530;-0.0863;1.027
0.040659483;0.9914;0.2559;-0.0804;1.027
0.041376046;0.9892;0.2586;-0.0765;1.025
0.041851983;0.9868;0.2589;-0.0694;1.023
0.042321723;0.9863;0.2613;-0.0653;1.022
0.042785108;0.9863;0.2625;-0.0579;1.022
0.046043286;0.9875;0.2674;-0.0523;1.024
0.046635421;0.9882;0.2679;-0.0469;1.025
0.048289275;0.9887;0.2706;-0.0440;1.026
0.051374015;0.9929;0.2718;-0.0408;1.030
0.053384276;0.9951;0.2745;-0.0372;1.033
0.054212297;0.9970;0.2770;-0.0357;1.035
0.056383026;0.9992;0.2794;-0.0340;1.038
0.058632766;1.0022;0.2799;-0.0328;1.041
0.060546673;1.0046;0.2804;-0.0320;1.044
0.062611829;1.0112;0.2792;-0.0313;1.050
0.064691308;1.0154;0.2806;-0.0308;1.054
0.069296153;1.0213;0.2794;-0.0325;1.059
0.069950528;1.0286;0.2762;-0.0340;1.066
0.070518965;1.0359;0.2757;-0.0350;1.073
0.07286558;1.0442;0.2735;-0.0379;1.080
0.074568132;1.0545;0.2711;-0.0413;1.090
0.076867455;1.0650;0.2704;-0.0484;1.100
0.078230893;1.0755;0.2664;-0.0506;1.109
0.080811362;1.0855;0.2657;-0.0574;1.119
0.082287091;1.0970;0.2630;-0.0614;1.130
0.084569123;1.1066;0.2601;-0.0655;1.139
0.086412665;1.1146;0.2574;-0.0701;1.146
0.088412144;1.1247;0.2542;-0.0760;1.156
0.090513498;1.1342;0.2491;-0.0816;1.164
0.09323329;1.1442;0.2474;-0.0878;1.174
0.094695999;1.1525;0.2420;-0.0958;1.182
0.096537353;1.1606;0.2408;-0.1007;1.190
0.098210843;1.1721;0.2378;-0.1034;1.200
0.100866624;1.1794;0.2349;-0.1068;1.207
0.102825218;1.1875;0.2339;-0.1093;1.215
0.104754333;1.1958;0.2339;-0.1100;1.223
0.106385479;1.2031;0.2339;-0.1078;1.230
0.10840449;1.2065;0.2339;-0.1063;1.234
0.110842303;1.2107;0.2369;-0.1061;1.238
0.112470636;1.2119;0.2388;-0.1061;1.240
0.114560272;1.2095;0.2415;-0.1046;1.238
0.118603657;1.2060;0.2444;-0.1036;1.235
0.119355064;1.2017;0.2481;-0.1022;1.231
0.121462043;1.1936;0.2542;-0.0980;1.224
0.124307981;1.1833;0.2574;-0.0931;1.215
0.124832356;1.1711;0.2628;-0.0873;1.203
0.126948658;1.1591;0.2691;-0.0836;1.193
0.129469388;1.1445;0.2770;-0.0777;1.180
0.131168659;1.1310;0.2838;-0.0770;1.169
0.135170482;1.1178;0.2919;-0.0714;1.157
0.136008868;1.1036;0.2972;-0.0694;1.145
0.136802461;1.0902;0.3048;-0.0677;1.134
0.13895267;1.0785;0.3109;-0.0645;1.124
0.140953139;1.0675;0.3205;-0.0606;1.116
0.143263972;1.0538;0.3266;-0.0562;1.105
0.145291525;1.0428;0.3320;-0.0526;1.096
0.147344806;1.0301;0.3390;-0.0469;1.085
0.149020431;1.0178;0.3432;-0.0423;1.075
0.151791994;1.0078;0.3495;-0.0369;1.067
0.152603296;0.9953;0.3556;-0.0311;1.057
0.156128349;0.9841;0.3622;-0.0261;1.049
0.157660797;0.9733;0.3681;-0.0217;1.041
0.159397047;0.9606;0.3764;-0.0147;1.032
0.161226891;0.9496;0.3843;-0.0105;1.025
0.163654027;0.9396;0.3923;-0.0034;1.018
0.165075798;0.9274;0.4014;-0.0010;1.011
0.169759913;0.9159;0.4077;0.0022;1.003
0.171821527;0.9059;0.4163;0.0027;0.997
0.172114132;0.8956;0.4243;0.0039;0.991
0.177996215;0.8888;0.4314;0.0042;0.988
0.178473872;0.8809;0.4385;0.0049;0.984
0.178730747;0.8753;0.4454;0.0042;0.982
0.179015434;0.8717;0.4507;0.0042;0.981
0.181351268;0.8673;0.4583;0.0059;0.981
0.183924237;0.8665;0.4649;0.0073;0.983
0.184716737;0.8651;0.4715;0.0064;0.985
0.186697623;0.8673;0.4762;0.0100;0.989
0.188830227;0.8658;0.4818;0.0149;0.991
0.19148304;0.8682;0.4877;0.0186;0.996
0.192826321;0.8699;0.4904;0.0235;0.999
0.194910019;0.8712;0.4945;0.0244;1.002
0.196792051;0.8748;0.4950;0.0266;1.006
0.200328926;0.8800;0.4965;0.0269;1.011
0.201320332;0.8804;0.4948;0.0279;1.010
0.202687312;0.8848;0.4935;0.0289;1.014
0.205856166;0.8878;0.4930;0.0274;1.016
0.208050125;0.8890;0.4904;0.0291;1.016
0.209775229;0.8915;0.4874;0.0298;1.016
0.211378563;0.8942;0.4849;0.0306;1.018
0.213710854;0.8944;0.4852;0.0308;1.018
0.215397938;0.8946;0.4872;0.0313;1.019
0.217760542;0.8976;0.4891;0.0311;1.023
0.219122313;0.8961;0.4916;0.0335;1.023
0.22094122;0.8922;0.4938;0.0350;1.020
0.223141845;0.8907;0.4974;0.0369;1.021
0.225177366;0.8885;0.4994;0.0403;1.020
0.227481897;0.8861;0.5043;0.0416;1.020
0.229940804;0.8800;0.5077;0.0438;1.017
0.232495752;0.8741;0.5131;0.0440;1.015
0.235075075;0.8719;0.5187;0.0494;1.016
0.236189919;0.8663;0.5246;0.0506;1.014
0.237166065;0.8607;0.5316;0.0521;1.013
0.239378149;0.8560;0.5370;0.0560;1.012
0.240728618;0.8487;0.5436;0.0589;1.010
0.242856534;0.8433;0.5532;0.0606;1.010
0.24489992;0.8372;0.5600;0.0650;1.009
0.246633254;0.8281;0.5705;0.0697;1.008
0.250740806;0.8211;0.5793;0.0755;1.008
0.252069087;0.8152;0.5884;0.0829;1.009
0.253709921;0.8093;0.5962;0.0863;1.009
0.254759869;0.8057;0.6023;0.0961;1.010
