time;gFx;gFy;gFz;TgF
0.001521928;1.0186;0.7091;0.0944;1.245
0.002105105;1.0225;0.7133;0.1041;1.251
0.002570157;1.0261;0.7177;0.1102;1.257
0.003038334;1.0293;0.7235;0.1193;1.264
0.003357605;1.0332;0.7282;0.1281;1.271
0.003651095;1.0354;0.7319;0.1361;1.275
0.005299376;1.0389;0.7311;0.1484;1.279
0.012904273;1.0457;0.7309;0.1621;1.286
0.013411356;1.0518;0.7306;0.1740;1.292
0.013621356;1.0574;0.7223;0.1924;1.295
0.013815054;1.0736;0.7064;0.2119;1.302
0.015460419;1.1242;0.6881;0.2381;1.339
0.017245106;1.1508;0.6825;0.2476;1.361
0.019246513;1.1423;0.6842;0.2398;1.353
0.02126443;1.1315;0.6842;0.2403;1.344
0.022965888;1.1166;0.6883;0.2437;1.334
0.027555472;1.1039;0.6922;0.2488;1.327
0.028020472;1.0875;0.6964;0.2540;1.316
0.029479118;1.0677;0.7047;0.2579;1.305
0.031298649;1.0472;0.7142;0.2645;1.295
0.033095785;1.0249;0.7270;0.2740;1.286
0.03508016;1.0125;0.7370;0.2826;1.284
0.037230629;1.0235;0.7411;0.2879;1.296
0.039282869;1.2060;0.6969;0.2667;1.418
0.041193494;1.4788;0.6294;0.1831;1.618
0.043060474;1.4241;0.6487;0.1203;1.570
0.045047661;1.4158;0.6558;0.0709;1.562
0.048000162;1.4048;0.6641;0.0428;1.554
0.050841672;1.3965;0.6749;0.0232;1.551
0.051441881;1.3850;0.6834;0.0095;1.544
0.053251047;1.3698;0.6937;-0.0012;1.535
0.055527871;1.3535;0.7054;-0.0044;1.526
0.058193235;1.3378;0.7159;-0.0039;1.517
0.060289121;1.3256;0.7240;0.0010;1.510
0.061262507;1.3109;0.7311;0.0059;1.501
0.063482403;1.2992;0.7384;0.0129;1.494
0.065111934;1.2882;0.7424;0.0203;1.487
0.067583809;1.2774;0.7448;0.0254;1.479
0.069871518;1.2650;0.7468;0.0342;1.469
0.072106674;1.2518;0.7504;0.0389;1.460
0.073664591;1.2386;0.7509;0.0445;1.449
0.076941414;1.2258;0.7502;0.0506;1.438
0.079211623;1.2122;0.7475;0.0579;1.425
0.080342092;1.1975;0.7441;0.0609;1.411
0.082500425;1.1860;0.7387;0.0657;1.399
0.084154019;1.1728;0.7343;0.0714;1.386
0.085605999;1.1608;0.7275;0.0763;1.372
0.08799428;1.1506;0.7211;0.0816;1.360
0.089763343;1.1432;0.7142;0.0824;1.351
0.091329489;1.1357;0.7054;0.0846;1.340
0.093535999;1.1286;0.6998;0.0802;1.330
0.095499802;1.1252;0.6903;0.0787;1.322
0.098090583;1.1183;0.6852;0.0731;1.314
0.100021313;1.1146;0.6800;0.0684;1.307
0.101643136;1.1092;0.6751;0.0621;1.300
0.103493344;1.1039;0.6710;0.0560;1.293
0.10589923;1.0985;0.6685;0.0440;1.287
0.109046678;1.0926;0.6649;0.0386;1.280
0.110615636;1.0846;0.6641;0.0281;1.272
0.112210012;1.0772;0.6634;0.0183;1.265
0.113444022;1.0704;0.6622;0.0064;1.259
0.116407147;1.0601;0.6627;0.0012;1.250
0.118043554;1.0491;0.6656;-0.0071;1.242
0.120283033;1.0342;0.6676;-0.0139;1.231
0.122412981;1.0200;0.6703;-0.0132;1.221
0.125378711;1.0029;0.6737;-0.0105;1.208
0.126047513;0.9851;0.6808;-0.0022;1.197
0.128544128;0.9653;0.6886;0.0078;1.186
0.130104493;0.9435;0.6957;0.0254;1.173
0.132092201;0.9174;0.7025;0.0445;1.156
0.134300066;0.8880;0.7120;0.0682;1.140
0.136363243;0.8548;0.7204;0.0912;1.122
0.138491212;0.8198;0.7272;0.1176;1.102
0.141873973;0.7844;0.7365;0.1455;1.086
0.142582254;0.7480;0.7431;0.1735;1.069
0.143788036;0.7135;0.7494;0.2017;1.054
0.145793973;0.6793;0.7529;0.2298;1.040
0.147612359;0.6455;0.7553;0.2544;1.026
0.150318088;0.6179;0.7538;0.2762;1.013
0.152984703;0.5937;0.7504;0.2980;1.002
0.153900537;0.5708;0.7411;0.3114;0.986
0.156143401;0.5544;0.7314;0.3256;0.974
0.159059652;0.5387;0.7196;0.3366;0.960
0.159731475;0.5275;0.7074;0.3491;0.949
0.162282829;0.5172;0.6981;0.3561;0.939
0.164134288;0.5092;0.6856;0.3600;0.927
0.165789079;0.5021;0.6800;0.3657;0.921
0.168156892;0.4960;0.6759;0.3664;0.915
0.17106882;0.4928;0.6759;0.3605;0.911
0.171860382;0.4874;0.6773;0.3581;0.908
0.173738247;0.4837;0.6812;0.3483;0.905
0.177703299;0.4806;0.6849;0.3356;0.901
0.178305591;0.4776;0.6918;0.3256;0.901
0.179951112;0.4754;0.7023;0.3090;0.903
0.181618769;0.4740;0.7125;0.2936;0.905
0.184096477;0.4725;0.7204;0.2755;0.904
0.186042311;0.4747;0.7289;0.2569;0.907
0.1877383;0.4762;0.7343;0.2378;0.907
0.189779082;0.4806;0.7372;0.2188;0.907
0.192903093;0.4854;0.7397;0.2024;0.908
