time;gFx;gFy;gFz;TgF
0.002158646;-0.1833;0.0550;0.8568;0.878
0.002741094;-0.1860;0.0557;0.8614;0.883
0.003026511;-0.1889;0.0606;0.8651;0.888
0.003287084;-0.1941;0.0636;0.8687;0.892
0.003548542;-0.1980;0.0682;0.8758;0.900
0.003801094;-0.2039;0.0733;0.8829;0.909
0.006302813;-0.2107;0.0775;0.8925;0.920
0.007235001;-0.2202;0.0809;0.9022;0.932
0.01161948;-0.2288;0.0855;0.9125;0.945
0.012139637;-0.2383;0.0878;0.9232;0.958
0.015376095;-0.2459;0.0931;0.9313;0.968
0.015803908;-0.2505;0.0922;0.9391;0.976
0.017213179;-0.2566;0.0966;0.9487;0.988
0.019340992;-0.2616;0.0963;0.9553;0.995
0.02146469;-0.2655;0.0985;0.9611;1.002
0.02324344;-0.2672;0.0975;0.9668;1.008
0.032642972;-0.2694;0.0968;0.9765;1.018
0.033638545;-0.2689;0.0978;0.9817;1.023
0.034424535;-0.2696;0.0951;0.9902;1.031
0.035245629;-0.2701;0.0963;0.9975;1.038
0.03602141;-0.2699;0.0963;1.0054;1.045
0.036706202;-0.2682;0.0922;1.0093;1.048
0.037500993;-0.2677;0.0907;1.0142;1.053
0.039469327;-0.2638;0.0897;1.0156;1.053
0.041954952;-0.2586;0.0863;1.0191;1.055
0.044262609;-0.2549;0.0836;1.0220;1.057
0.045374275;-0.2481;0.0794;1.0232;1.056
0.046892088;-0.2432;0.0772;1.0232;1.055
0.049101411;-0.2361;0.0750;1.0266;1.056
0.05103787;-0.2325;0.0719;1.0271;1.056
0.053170266;-0.2261;0.0689;1.0288;1.056
0.055440162;-0.2212;0.0640;1.0320;1.057
0.060400839;-0.2180;0.0616;1.0349;1.059
0.061036673;-0.2127;0.0599;1.0386;1.062
0.061378652;-0.2092;0.0582;1.0415;1.064
0.064727194;-0.2068;0.0533;1.0428;1.064
0.066031725;-0.2041;0.0499;1.0432;1.064
0.067540892;-0.2017;0.0518;1.0440;1.065
0.069228549;-0.1999;0.0491;1.0423;1.062
0.071384226;-0.1980;0.0472;1.0381;1.058
0.073230528;-0.1968;0.0455;1.0335;1.053
0.075245633;-0.1948;0.0445;1.0327;1.052
0.079698706;-0.1907;0.0442;1.0283;1.047
0.080213237;-0.1894;0.0425;1.0232;1.041
0.081439644;-0.1880;0.0445;1.0200;1.038
0.08389355;-0.1880;0.0482;1.0156;1.034
0.085893186;-0.1867;0.0508;1.0105;1.029
0.087747144;-0.1882;0.0501;1.0059;1.025
0.089194228;-0.1904;0.0521;1.0007;1.020
0.092481207;-0.1897;0.0504;0.9934;1.013
0.093301676;-0.1899;0.0494;0.9861;1.005
0.095593968;-0.1909;0.0523;0.9795;0.999
0.098183708;-0.1911;0.0545;0.9753;0.995
0.099581208;-0.1926;0.0567;0.9687;0.989
0.101833656;-0.1919;0.0587;0.9626;0.983
0.103706052;-0.1924;0.0596;0.9555;0.977
0.105548396;-0.1938;0.0653;0.9479;0.970
0.113981053;-0.1948;0.0692;0.9401;0.963
0.114794907;-0.1972;0.0719;0.9345;0.958
0.115165584;-0.1968;0.0755;0.9306;0.954
0.115436991;-0.1990;0.0777;0.9254;0.950
0.115718918;-0.1994;0.0789;0.9210;0.946
0.119829179;-0.2009;0.0829;0.9181;0.943
0.120392512;-0.1994;0.0843;0.9144;0.940
0.121599752;-0.1997;0.0848;0.9122;0.938
0.123398294;-0.1997;0.0873;0.9096;0.935
0.12549871;-0.1977;0.0858;0.9122;0.937
0.127084752;-0.1972;0.0861;0.9152;0.940
0.1292247;-0.1965;0.0878;0.9193;0.944
0.132042774;-0.1958;0.0875;0.9223;0.947
0.133717565;-0.1926;0.0863;0.9281;0.952
0.135687409;-0.1941;0.0861;0.9325;0.956
0.13769241;-0.1919;0.0850;0.9379;0.961
0.139329545;-0.1931;0.0846;0.9406;0.964
0.141537722;-0.1909;0.0838;0.9416;0.964
0.143515691;-0.1911;0.0848;0.9438;0.967
0.145236473;-0.1894;0.0843;0.9467;0.969
0.147397463;-0.1911;0.0858;0.9496;0.972
