FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
04062023     0  16.4   96  1015.5  110   11     AEROPARQUE AERO                                     
04062023     1  16.3   96  1015.4  110    7     AEROPARQUE AERO                                     
04062023     2  16.4   96  1015.4  120    4     AEROPARQUE AERO                                     
04062023     3  16.7   97  1015.6  990    4     AEROPARQUE AERO                                     
04062023     4  16.7   96  1015.5  180    6     AEROPARQUE AERO                                     
04062023     5  16.8   95  1016.2  180    6     AEROPARQUE AERO                                     
04062023     6  16.4   94  1016.7  990    4     AEROPARQUE AERO                                     
04062023     7  16.4   94  1017.2  200    9     AEROPARQUE AERO                                     
04062023     8  16.8   92  1018.9  200   11     AEROPARQUE AERO                                     
04062023     9  16.2   86  1020.2  200   15     AEROPARQUE AERO                                     
04062023    10  16.3   75  1021.2  190   13     AEROPARQUE AERO                                     
04062023    11  17.1   68  1022.2  190   15     AEROPARQUE AERO                                     
04062023    12  18.0   52  1022.5  160   17     AEROPARQUE AERO                                     
04062023    13  19.0   39  1022.4  160   17     AEROPARQUE AERO                                     
04062023    14  18.8   45  1022.3  160   13     AEROPARQUE AERO                                     
04062023    15  18.1   45  1022.3  180   11     AEROPARQUE AERO                                     
04062023    16  17.5   47  1023.1  190   11     AEROPARQUE AERO                                     
04062023    17  17.2   51  1023.5  150   11     AEROPARQUE AERO                                     
04062023    18  16.5   49  1023.4  150    7     AEROPARQUE AERO                                     
04062023    19  16.0   42  1024.2  170    6     AEROPARQUE AERO                                     
04062023    20  15.0   46  1024.9  190    7     AEROPARQUE AERO                                     
04062023    21  14.2   52  1025.3  180    7     AEROPARQUE AERO                                     
04062023    22  13.6   53  1025.9  190    7     AEROPARQUE AERO                                     
04062023    23  12.8   56  1026.5  190    9     AEROPARQUE AERO                                     
04062023     0  11.0   92  1017.0   70    9     AZUL AERO                                           
04062023     1  11.7   91  1017.3   70    2     AZUL AERO                                           
04062023     2  11.1   92  1017.1   70    7     AZUL AERO                                           
04062023     3  12.0   89  1020.0  200   11     AZUL AERO                                           
04062023     4  10.9   92  1018.9  160    7     AZUL AERO                                           
04062023     5   9.3   95  1018.9   50    4     AZUL AERO                                           
04062023     6   8.6   97  1020.0  230    4     AZUL AERO                                           
04062023     7   7.3   96  1020.8  230    6     AZUL AERO                                           
04062023     8   8.0   83  1021.9  270    7     AZUL AERO                                           
04062023     9   8.4   76  1022.4  230    9     AZUL AERO                                           
04062023    10   9.0   69  1023.3  180    7     AZUL AERO                                           
04062023    11   9.8   59  1023.7  180   11     AZUL AERO                                           
04062023    12  11.6   54  1023.4  180   20     AZUL AERO                                           
04062023    13  11.9   62  1024.5  210   22     AZUL AERO                                           
04062023    14  14.2   42  1023.7  180   19     AZUL AERO                                           
04062023    15  13.4   38  1023.6  180   13     AZUL AERO                                           
04062023    16  13.2   36  1024.0  230   11     AZUL AERO                                           
04062023    17  12.6   39  1024.6  180    9     AZUL AERO                                           
04062023    18   9.2   54  1025.3  180    7     AZUL AERO                                           
04062023    19   6.8   83  1025.9  230    4     AZUL AERO                                           
04062023    20   5.8   73  1026.6  250    6     AZUL AERO                                           
04062023    21   4.6   81  1026.6  230    4     AZUL AERO                                           
04062023    22   2.0   89  1027.0  230    6     AZUL AERO                                           
04062023    23   1.4   92  1027.3  290    4     AZUL AERO                                           
04062023     0  13.3   68  1017.3  250   15     BAHIA BLANCA AERO                                   
04062023     1  13.5   62  1017.0  320   17     BAHIA BLANCA AERO                                   
04062023     2  13.4   54  1018.2  290   24     BAHIA BLANCA AERO                                   
04062023     3  12.4   53  1018.6  280   22     BAHIA BLANCA AERO                                   
04062023     4  11.2   57  1019.4  270   28     BAHIA BLANCA AERO                                   
04062023     5  10.2   56  1020.0  270   24     BAHIA BLANCA AERO                                   
04062023     6   9.8   53  1020.7  270   28     BAHIA BLANCA AERO                                   
04062023     7   8.4   55  1021.7  270   28     BAHIA BLANCA AERO                                   
04062023     8   7.6   59  1022.8  270   22     BAHIA BLANCA AERO                                   
04062023     9   7.3   62  1023.6  270   22     BAHIA BLANCA AERO                                   
04062023    10   9.0   53  1025.1  270   33     BAHIA BLANCA AERO                                   
04062023    11   9.5   50  1025.2  250   20     BAHIA BLANCA AERO                                   
04062023    12  10.7   50  1025.3  250   24     BAHIA BLANCA AERO                                   
04062023    13  12.7   44  1024.8  230   30     BAHIA BLANCA AERO                                   
04062023    14  14.1   42  1024.6  250   19     BAHIA BLANCA AERO                                   
04062023    15  14.4   40  1024.7  270   22     BAHIA BLANCA AERO                                   
04062023    16  14.3   40  1024.8  230   19     BAHIA BLANCA AERO                                   
04062023    17  13.9   39  1025.0  250   11     BAHIA BLANCA AERO                                   
04062023    18  11.1   42  1025.3  180    9     BAHIA BLANCA AERO                                   
04062023    19   8.1   55  1025.6  250    6     BAHIA BLANCA AERO                                   
04062023    20   5.3   61  1026.1  360   11     BAHIA BLANCA AERO                                   
04062023    21   2.8   66  1025.9  360   11     BAHIA BLANCA AERO                                   
04062023    22    .8   74  1026.4  360    9     BAHIA BLANCA AERO                                   
04062023    23   -.3   80  1026.0  340   13     BAHIA BLANCA AERO                                   
04062023     0   3.0   81  1485.0  290   37     BARILOCHE AERO                                      
04062023     1   3.2   76  1492.0  290   35     BARILOCHE AERO                                      
04062023     2   2.9   79  1494.0  270   28     BARILOCHE AERO                                      
04062023     3   2.9   79  1499.0  270   15     BARILOCHE AERO                                      
04062023     4   3.0   76  1496.0  270   20     BARILOCHE AERO                                      
04062023     5   3.4   71  1503.0  270   24     BARILOCHE AERO                                      
04062023     6   2.6   73  1505.0  270   17     BARILOCHE AERO                                      
04062023     7   2.0   77  1507.0  290   13     BARILOCHE AERO                                      
04062023     8   2.1   77  1512.0  280    6     BARILOCHE AERO                                      
04062023     9   1.3   82  1519.0  290    6     BARILOCHE AERO                                      
04062023    10    .1   85  1523.0  210    7     BARILOCHE AERO                                      
04062023    11   3.1   75  1525.0  280    9     BARILOCHE AERO                                      
04062023    12   5.3   61  1524.0  290   15     BARILOCHE AERO                                      
04062023    13   6.4   66  1524.0  310   20     BARILOCHE AERO                                      
04062023    14   5.7   59  1519.0  340    9     BARILOCHE AERO                                      
04062023    15   6.5   56  1513.0  360    7     BARILOCHE AERO                                      
04062023    16   7.1   53  1508.0   40    7     BARILOCHE AERO                                      
04062023    17   7.3   51  1507.0  330    2     BARILOCHE AERO                                      
04062023    18   6.9   56  1498.0  170    4     BARILOCHE AERO                                      
04062023    19   4.5   73  1492.0  140    6     BARILOCHE AERO                                      
04062023    20   3.0   78  1493.0  990    4     BARILOCHE AERO                                      
04062023    21    .9   86  1487.0  180    4     BARILOCHE AERO                                      
04062023    22    .8   87  1487.0  180    7     BARILOCHE AERO                                      
04062023    23    .6   87  1490.0  230    6     BARILOCHE AERO                                      
04062023     0 -22.6   58  1002.5  140    7     BASE BELGRANO II                                    
04062023     3 -22.2   58  1002.0   90    9     BASE BELGRANO II                                    
04062023     6 -21.2   75  1001.1    0    0     BASE BELGRANO II                                    
04062023     9 -18.0   68   999.6  140   20     BASE BELGRANO II                                    
04062023    12 -16.9   60   998.2  150   31     BASE BELGRANO II                                    
04062023    15 -17.1   65   996.9  130   61     BASE BELGRANO II                                    
04062023    18 -17.2   59   996.2  140   80     BASE BELGRANO II                                    
04062023    21 -17.7   53   997.6  140   74     BASE BELGRANO II                                    
04062023     0   2.4   93  1004.7  160    6     BASE CARLINI (EX JUBANY)                            
04062023     3   1.7   98  1005.0  140   19     BASE CARLINI (EX JUBANY)                            
04062023     6    .2   96  1004.7   50    4     BASE CARLINI (EX JUBANY)                            
04062023     9    .2   96  1004.0  160    7     BASE CARLINI (EX JUBANY)                            
04062023    12   1.0   92  1002.5  340    6     BASE CARLINI (EX JUBANY)                            
04062023    15   1.6   98  1001.3  180   11     BASE CARLINI (EX JUBANY)                            
04062023    18    .8   95   999.6   20   41     BASE CARLINI (EX JUBANY)                            
04062023    21   3.2   83   997.9  340    9     BASE CARLINI (EX JUBANY)                            
04062023     0   2.5   87  1004.6  320   24     BASE ESPERANZA                                      
04062023     3  -1.5   92  1005.7   50   19     BASE ESPERANZA                                      
04062023     6   2.5   87  1007.1  320    4     BASE ESPERANZA                                      
04062023     9    .2   92  1006.6  270    6     BASE ESPERANZA                                      
04062023    12    .0   96  1005.3    0    0     BASE ESPERANZA                                      
04062023    15    .5   95  1003.6  360   19     BASE ESPERANZA                                      
04062023    18    .2   96  1002.2  360   15     BASE ESPERANZA                                      
04062023    21   -.3   98  1000.6  360    9     BASE ESPERANZA                                      
04062023     0   -.8   99  1001.4  320   41     BASE MARAMBIO                                       
04062023     1   -.9   99  1002.1  320   44     BASE MARAMBIO                                       
04062023     2  -1.0   99  1003.4  320   30     BASE MARAMBIO                                       
04062023     3   -.5   99  1003.7  320   33     BASE MARAMBIO                                       
04062023     4   -.6   99  1004.4  320   33     BASE MARAMBIO                                       
04062023     5   -.4   98  1005.1  320   33     BASE MARAMBIO                                       
04062023     6   -.8   99  1004.6  320   31     BASE MARAMBIO                                       
04062023     7  -1.0   99  1004.6  320   33     BASE MARAMBIO                                       
04062023     8   -.5   98  1004.6  320   31     BASE MARAMBIO                                       
04062023     9   -.6   97  1004.8  320   28     BASE MARAMBIO                                       
04062023    10   -.9   97  1004.2  320   28     BASE MARAMBIO                                       
04062023    11  -1.1   97  1003.8  320   26     BASE MARAMBIO                                       
04062023    12   -.5   98  1003.6  340   41     BASE MARAMBIO                                       
04062023    13    .0   96  1003.4  320   39     BASE MARAMBIO                                       
04062023    14    .2   96  1002.5  320   43     BASE MARAMBIO                                       
04062023    15    .3   99  1002.4  320   39     BASE MARAMBIO                                       
04062023    16    .2   99  1002.0  320   37     BASE MARAMBIO                                       
04062023    17    .2   99  1001.4  340   30     BASE MARAMBIO                                       
04062023    18    .4   99  1001.5  340   30     BASE MARAMBIO                                       
04062023    19    .5   99  1001.0  340   31     BASE MARAMBIO                                       
04062023    20    .3   99  1000.3  340   43     BASE MARAMBIO                                       
04062023    21    .2   94   999.8  340   33     BASE MARAMBIO                                       
04062023    22   -.2   96   999.3  340   33     BASE MARAMBIO                                       
04062023    23   -.4   96   998.8  360   35     BASE MARAMBIO                                       
04062023     0   -.5   98  1018.8  360   22     BASE ORCADAS                                        
04062023     3   -.7   98  1019.0  360   30     BASE ORCADAS                                        
04062023     6  -1.3   98  1018.8  360   31     BASE ORCADAS                                        
04062023     9  -1.3   98  1018.4  360   28     BASE ORCADAS                                        
04062023    12  -1.7   96  1017.7  340   30     BASE ORCADAS                                        
04062023    15  -1.7   92  1016.4  340   26     BASE ORCADAS                                        
04062023    18  -2.1   96  1015.0  340   24     BASE ORCADAS                                        
04062023    21  -1.7   92  1013.3  340   28     BASE ORCADAS                                        
04062023     0    .4   83   992.8  180   13     BASE SAN MARTIN                                     
04062023     3    .9   78   995.3  180    9     BASE SAN MARTIN                                     
04062023     6   2.7   76   996.6   20   19     BASE SAN MARTIN                                     
04062023     9   1.1   87   997.7  360    9     BASE SAN MARTIN                                     
04062023    15    .0   92   997.7  140   13     BASE SAN MARTIN                                     
04062023    18   -.1   90   997.7  360    6     BASE SAN MARTIN                                     
04062023    21   -.6   96   997.0  200   11     BASE SAN MARTIN                                     
04062023     9   5.6   82  1020.4  230    9     BENITO JUAREZ AERO                                  
04062023    15  12.0   46  1021.5  230   24     BENITO JUAREZ AERO                                  
04062023    21   3.8   80  1025.1    0    0     BENITO JUAREZ AERO                                  
04062023     6  15.4   87  1541.0   20    4     BERNARDO DE IRIGOYEN AERO                           
04062023     7  15.7   85  1546.0   20    4     BERNARDO DE IRIGOYEN AERO                           
