TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2023-06-18 00:00:00,-2.656,-1.988,-0.402,-0.382
2023-06-18 00:01:00,-2.349,-1.988,0.000,-0.510
2023-06-18 00:02:00,-2.349,-1.988,0.000,-0.510
2023-06-18 00:03:00,-2.554,-1.988,0.000,-0.382
2023-06-18 00:04:00,-2.758,-1.988,0.000,-0.382
2023-06-18 00:05:00,-2.962,-1.988,-0.201,-0.382
2023-06-18 00:06:00,-3.064,-2.386,-0.402,-0.382
2023-06-18 00:07:00,-3.064,-2.386,-0.201,-0.382
2023-06-18 00:08:00,-3.064,-2.584,0.000,-0.382
2023-06-18 00:09:00,-3.064,-1.988,0.000,-0.382
2023-06-18 00:10:00,-2.451,-1.988,0.000,-0.382
2023-06-18 00:11:00,-2.349,-1.988,0.000,-0.382
2023-06-18 00:12:00,-2.349,-1.988,0.000,-0.255
2023-06-18 00:13:00,-2.349,-1.392,-0.602,-0.382
2023-06-18 00:14:00,-2.349,-1.392,-0.602,-0.382
2023-06-18 00:15:00,-2.349,-1.392,-0.602,-0.382
2023-06-18 00:16:00,-2.349,-1.590,-0.602,-0.382
2023-06-18 00:17:00,-2.349,-1.392,-0.602,-0.382
2023-06-18 00:18:00,-2.349,-1.392,-0.402,-0.382
2023-06-18 00:19:00,-2.247,-1.392,-0.201,-0.382
2023-06-18 00:20:00,-2.043,-1.392,-0.201,-0.382
2023-06-18 00:21:00,-2.349,-1.789,-0.602,-0.382
2023-06-18 00:22:00,-2.349,-1.988,-0.602,-0.382
2023-06-18 00:23:00,-2.349,-1.988,-0.602,-0.382
2023-06-18 00:24:00,-2.349,-1.988,-0.602,-0.382
2023-06-18 00:25:00,-2.349,-1.988,-0.602,-0.382
2023-06-18 00:26:00,-2.349,-1.988,-0.602,-0.637
2023-06-18 00:27:00,-2.349,-1.988,-0.602,-0.637
2023-06-18 00:28:00,-2.349,-1.988,-0.602,-0.764
2023-06-18 00:29:00,-2.554,-1.988,-0.402,-0.892
2023-06-18 00:30:00,-2.860,-1.988,-0.602,-0.892
2023-06-18 00:31:00,-3.064,-1.988,-0.602,-0.637
2023-06-18 00:32:00,-3.064,-2.386,-0.602,-0.637
2023-06-18 00:33:00,-3.064,-2.584,-0.602,-0.510
2023-06-18 00:34:00,-3.064,-2.584,-0.602,-0.510
2023-06-18 00:35:00,-3.064,-2.584,-0.602,-0.637
2023-06-18 00:36:00,-3.064,-2.584,-0.602,-0.764
2023-06-18 00:37:00,-3.064,-2.584,-0.602,-0.892
2023-06-18 00:38:00,-3.064,-2.584,-0.402,-0.764
2023-06-18 00:39:00,-3.064,-2.584,-0.602,-0.637
2023-06-18 00:40:00,-3.064,-2.584,-0.602,-0.637
2023-06-18 00:41:00,-3.064,-2.386,-0.602,-0.637
2023-06-18 00:42:00,-3.064,-1.988,-0.602,-0.382
2023-06-18 00:43:00,-3.064,-1.988,-0.602,-0.382
2023-06-18 00:44:00,-3.064,-2.386,-0.602,-0.382
2023-06-18 00:45:00,-3.064,-2.386,-0.201,-0.382
2023-06-18 00:46:00,-3.064,-1.988,0.000,-0.382
2023-06-18 00:47:00,-3.064,-1.988,0.000,-0.510
2023-06-18 00:48:00,-2.962,-1.988,-0.201,-0.382
2023-06-18 00:49:00,-2.962,-1.988,-1.004,-0.510
2023-06-18 00:50:00,-3.064,-1.988,-1.205,-0.382
2023-06-18 00:51:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:52:00,-3.064,-1.988,-1.205,-0.510
2023-06-18 00:53:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:54:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:55:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:56:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:57:00,-3.064,-1.988,-1.406,-0.637
2023-06-18 00:58:00,-3.064,-1.988,-1.406,-0.510
2023-06-18 00:59:00,-3.064,-2.187,-1.406,-0.637
2023-06-18 01:00:00,-3.064,-1.988,-1.406,-0.764
2023-06-18 01:01:00,-3.064,-1.988,-1.406,-0.892
2023-06-18 01:02:00,-2.758,-1.988,-1.406,-0.892
2023-06-18 01:03:00,-2.451,-1.988,-1.406,-0.892
2023-06-18 01:04:00,-2.349,-2.187,-1.406,-0.892
2023-06-18 01:05:00,-2.349,-2.187,-1.406,-0.892
2023-06-18 01:06:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:07:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:08:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:09:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:10:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:11:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:12:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:13:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:14:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:15:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:16:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:17:00,-2.349,-1.988,-1.606,-0.892
2023-06-18 01:18:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:19:00,-2.349,-1.789,-1.406,-0.892
2023-06-18 01:20:00,-2.349,-1.392,-1.406,-0.892
2023-06-18 01:21:00,-2.349,-1.392,-1.406,-0.892
2023-06-18 01:22:00,-2.349,-1.392,-1.406,-0.892
2023-06-18 01:23:00,-2.349,-1.392,-1.406,-0.892
2023-06-18 01:24:00,-2.349,-1.392,-1.406,-0.892
2023-06-18 01:25:00,-2.349,-1.789,-1.406,-0.892
2023-06-18 01:26:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:27:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:28:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:29:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 01:30:00,-2.349,-1.988,-1.004,-0.892
2023-06-18 01:31:00,-2.349,-1.988,-0.602,-0.892
2023-06-18 01:32:00,-2.349,-1.988,-0.602,-0.892
2023-06-18 01:33:00,-2.349,-1.988,-0.602,-0.892
2023-06-18 01:34:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:35:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:36:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:37:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:38:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:39:00,-2.349,-1.988,-0.201,-0.892
2023-06-18 01:40:00,-2.349,-1.988,-0.201,-0.892
2023-06-18 01:41:00,-2.349,-1.988,-0.201,-0.892
2023-06-18 01:42:00,-2.349,-1.988,0.000,-0.892
2023-06-18 01:43:00,-2.349,-1.590,-0.201,-0.764
2023-06-18 01:44:00,-2.145,-1.392,-0.402,-0.637
2023-06-18 01:45:00,-2.043,-1.392,-0.201,-0.510
2023-06-18 01:46:00,-2.043,-1.392,-0.402,-0.510
2023-06-18 01:47:00,-2.043,-1.392,-0.602,-0.510
2023-06-18 01:48:00,-2.043,-1.392,-1.004,-0.382
2023-06-18 01:49:00,-2.043,-1.392,-1.406,-0.637
2023-06-18 01:50:00,-2.043,-1.392,-1.406,-0.510
2023-06-18 01:51:00,-2.043,-1.392,-1.406,-0.764
2023-06-18 01:52:00,-2.043,-1.392,-1.406,-0.892
2023-06-18 01:53:00,-2.043,-1.392,-1.406,-0.892
2023-06-18 01:54:00,-2.145,-1.392,-1.406,-0.892
2023-06-18 01:55:00,-2.349,-1.392,-1.406,-0.764
2023-06-18 01:56:00,-2.349,-1.590,-1.406,-0.510
2023-06-18 01:57:00,-2.349,-1.988,-1.406,-0.382
2023-06-18 01:58:00,-2.349,-1.988,-1.406,-0.127
2023-06-18 01:59:00,-2.349,-1.988,-1.205,0.000
2023-06-18 02:00:00,-2.349,-1.988,-1.406,0.000
2023-06-18 02:01:00,-2.349,-1.988,-0.803,0.000
2023-06-18 02:02:00,-2.349,-1.988,-1.004,0.000
2023-06-18 02:03:00,-2.349,-1.988,-1.205,0.000
2023-06-18 02:04:00,-2.349,-1.988,-1.205,0.000
2023-06-18 02:05:00,-2.349,-1.988,-1.205,0.000
2023-06-18 02:06:00,-2.349,-1.988,-0.803,-0.127
2023-06-18 02:07:00,-2.349,-1.988,-0.402,-0.510
2023-06-18 02:08:00,-2.349,-1.988,-0.201,-0.637
2023-06-18 02:09:00,-2.349,-1.988,-1.004,-0.892
2023-06-18 02:10:00,-2.349,-1.988,-1.205,-0.764
2023-06-18 02:11:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 02:12:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 02:13:00,-2.349,-1.988,-1.406,-0.892
2023-06-18 02:14:00,-2.349,-1.988,-0.803,-0.892
2023-06-18 02:15:00,-2.349,-1.988,-0.402,-0.892
2023-06-18 02:16:00,-2.349,-1.988,-1.205,-0.764
2023-06-18 02:17:00,-2.349,-1.988,-1.406,-0.764
2023-06-18 02:18:00,-2.349,-1.988,-1.205,-0.764
2023-06-18 02:19:00,-2.349,-1.988,-0.201,-0.764
