FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
03DEC2020:00:00:00,176,4,172,0,0
04DEC2020:00:00:00,155,6,149,0,3
05DEC2020:00:00:00,123,18,105,0,4
06DEC2020:00:00:00,84,14,70,0,1
07DEC2020:00:00:00,92,1,91,0,0
08DEC2020:00:00:00,122,22,100,0,4
09DEC2020:00:00:00,275,14,261,0,5
10DEC2020:00:00:00,192,9,183,1,5
11DEC2020:00:00:00,220,15,205,0,8
12DEC2020:00:00:00,143,14,129,0,2
13DEC2020:00:00:00,105,6,99,0,1
14DEC2020:00:00:00,285,10,275,0,3
15DEC2020:00:00:00,286,16,270,1,5
16DEC2020:00:00:00,325,10,315,0,3
17DEC2020:00:00:00,306,5,301,0,1
18DEC2020:00:00:00,356,7,349,0,2
19DEC2020:00:00:00,168,19,149,0,0
20DEC2020:00:00:00,198,17,181,0,1
21DEC2020:00:00:00,370,10,360,0,3
22DEC2020:00:00:00,411,9,402,1,3
23DEC2020:00:00:00,441,8,433,0,1
24DEC2020:00:00:00,224,22,202,0,2
25DEC2020:00:00:00,222,19,203,0,0
26DEC2020:00:00:00,196,27,169,0,1
27DEC2020:00:00:00,360,4,356,0,1
28DEC2020:00:00:00,632,14,618,1,2
29DEC2020:00:00:00,602,12,590,0,5
30DEC2020:00:00:00,585,14,571,0,3
31DEC2020:00:00:00,275,4,271,0,2
01JAN2021:00:00:00,255,19,236,0,2
02JAN2021:00:00:00,294,21,273,0,0
03JAN2021:00:00:00,281,23,258,0,2
04JAN2021:00:00:00,754,24,730,0,5
05JAN2021:00:00:00,634,18,616,0,4
06JAN2021:00:00:00,754,19,735,1,6
07JAN2021:00:00:00,721,11,710,0,7
08JAN2021:00:00:00,624,14,610,0,3
09JAN2021:00:00:00,310,28,282,0,5
10JAN2021:00:00:00,270,27,243,0,2
11JAN2021:00:00:00,705,11,694,0,2
